Material Description                    , Plant, Period, Year, Amount in LC       , Quantity
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 3898.4090909090905 , 130.3030303030303
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 550.3636363636363  , 19.6969696969697
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 11933.718181818182 , 395.75757575757575
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 19317.763636363634 , 639.6969696969697
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 17052.1            , 564.8484848484849
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 17987.71818181818  , 595.7575757575758
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 13759.090909090908 , 456.06060606060606
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 12685.881818181817 , 420.6060606060606
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 12548.290909090909 , 416.06060606060606
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 14630.499999999998 , 484.8484848484849
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 15804.609090909089 , 523.6363636363636
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 19271.899999999998 , 638.1818181818182
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 20262.554545454546 , 670.909090909091
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 7705.090909090909  , 256.06060606060606
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 2339.045454545454  , 78.7878787878788
Crate: Red Quart                        , AA   , 7     , 2022, -1118.5227272727273, -75.75757575757576
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 18657.32727272727  , 617.8787878787879
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 12667.536363636364 , 420.0
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 21528.390909090907 , 712.7272727272727
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 18950.854545454542 , 627.5757575757576
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 15190.036363636364 , 503.33333333333337
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 11603.5            , 384.8484848484849
